customerid,loanno,Month,Loan Amount,EMI Amount,Interest Rate (%),Repayment Period (Months),Credit Score,Credit History (Years),Outstanding Balance Amount,Bank Statement,payment
Cus0008,Loan0001,January,450209.58,9578.93,5.61,40,730,5,230990.14,"Transactions: 18, Deposits: 31292.02, Withdrawals: 62032.63",1
Cus0008,Loan0001,February,450209.58,9578.93,5.61,40,730,5,230990.14,"Transactions: 6, Deposits: 77049.12, Withdrawals: 28195.01",0
Cus0008,Loan0001,March,450209.58,9578.93,5.61,40,730,5,230990.14,"Transactions: 8, Deposits: 36867.5, Withdrawals: 77959.68",1
Cus0008,Loan0001,April,450209.58,9578.93,5.61,40,730,5,230990.14,"Transactions: 9, Deposits: 68773.01, Withdrawals: 73538.25",1
Cus0008,Loan0001,May,450209.58,9578.93,5.61,40,730,5,230990.14,"Transactions: 5, Deposits: 39623.92, Withdrawals: 61930.77",1
Cus0008,Loan0001,June,450209.58,9578.93,5.61,40,730,5,230990.14,"Transactions: 15, Deposits: 37773.94, Withdrawals: 78948.22",1
Cus0008,Loan0001,July,450209.58,9578.93,5.61,40,730,5,230990.14,"Transactions: 20, Deposits: 69220.39, Withdrawals: 31086.33",1
Cus0008,Loan0001,August,450209.58,9578.93,5.61,40,730,5,230990.14,"Transactions: 17, Deposits: 82594.81, Withdrawals: 49911.58",0
Cus0008,Loan0001,September,450209.58,9578.93,5.61,40,730,5,230990.14,"Transactions: 6, Deposits: 42835.23, Withdrawals: 24791.98",1
Cus0008,Loan0001,October,450209.58,9578.93,5.61,40,730,5,230990.14,"Transactions: 17, Deposits: 64730.55, Withdrawals: 32840.29",1
Cus00019,Loan0002,January,412438.01,8248.76,5.69,12,356,2,316438.84,"Transactions: 8, Deposits: 92232.98, Withdrawals: 63162.5",1
Cus00019,Loan0002,February,412438.01,8248.76,5.69,12,356,2,316438.84,"Transactions: 15, Deposits: 72057.58, Withdrawals: 35643.78",1
Cus00019,Loan0002,March,412438.01,8248.76,5.69,12,356,2,316438.84,"Transactions: 14, Deposits: 93249.84, Withdrawals: 56546.17",1
Cus00019,Loan0002,April,412438.01,8248.76,5.69,12,356,2,316438.84,"Transactions: 13, Deposits: 80567.25, Withdrawals: 28557.99",1
Cus00019,Loan0002,May,412438.01,8248.76,5.69,12,356,2,316438.84,"Transactions: 16, Deposits: 68112.07, Withdrawals: 64191.06",1
Cus00019,Loan0002,June,412438.01,8248.76,5.69,12,356,2,316438.84,"Transactions: 15, Deposits: 81486.34, Withdrawals: 67411.48",0
Cus00019,Loan0002,July,412438.01,8248.76,5.69,12,356,2,316438.84,"Transactions: 13, Deposits: 38848.49, Withdrawals: 53736.83",1
Cus00019,Loan0002,August,412438.01,8248.76,5.69,12,356,2,316438.84,"Transactions: 14, Deposits: 34687.3, Withdrawals: 48261.65",1
Cus00019,Loan0002,September,412438.01,8248.76,5.69,12,356,2,316438.84,"Transactions: 15, Deposits: 70506.34, Withdrawals: 72484.11",1
Cus00019,Loan0002,October,412438.01,8248.76,5.69,12,356,2,316438.84,"Transactions: 11, Deposits: 83109.48, Withdrawals: 40031.62",0
Cus00012,Loan0003,January,297755.26,11452.13,9.1,49,587,11,114685.64,"Transactions: 14, Deposits: 61861.68, Withdrawals: 65388.86",1
Cus00012,Loan0003,February,297755.26,11452.13,9.1,49,587,11,114685.64,"Transactions: 11, Deposits: 40285.7, Withdrawals: 40578.37",0
Cus00012,Loan0003,March,297755.26,11452.13,9.1,49,587,11,114685.64,"Transactions: 10, Deposits: 91279.98, Withdrawals: 61209.67",1
Cus00012,Loan0003,April,297755.26,11452.13,9.1,49,587,11,114685.64,"Transactions: 5, Deposits: 91085.63, Withdrawals: 47902.73",1
Cus00012,Loan0003,May,297755.26,11452.13,9.1,49,587,11,114685.64,"Transactions: 10, Deposits: 94599.64, Withdrawals: 44412.98",1
Cus00012,Loan0003,June,297755.26,11452.13,9.1,49,587,11,114685.64,"Transactions: 6, Deposits: 52057.27, Withdrawals: 47263.82",1
Cus00012,Loan0003,July,297755.26,11452.13,9.1,49,587,11,114685.64,"Transactions: 18, Deposits: 50216.63, Withdrawals: 68202.27",0
Cus00012,Loan0003,August,297755.26,11452.13,9.1,49,587,11,114685.64,"Transactions: 12, Deposits: 95105.57, Withdrawals: 48173.31",1
Cus00012,Loan0003,September,297755.26,11452.13,9.1,49,587,11,114685.64,"Transactions: 13, Deposits: 82496.44, Withdrawals: 43155.99",0
Cus00012,Loan0003,October,297755.26,11452.13,9.1,49,587,11,114685.64,"Transactions: 19, Deposits: 34187.75, Withdrawals: 78124.58",1
Cus0009,Loan0004,January,257266.33,10290.65,4.02,23,850,6,60467.16,"Transactions: 18, Deposits: 65027.99, Withdrawals: 61224.82",1
Cus0009,Loan0004,February,257266.33,10290.65,4.02,23,850,6,60467.16,"Transactions: 14, Deposits: 52728.79, Withdrawals: 76955.04",0
Cus0009,Loan0004,March,257266.33,10290.65,4.02,23,850,6,60467.16,"Transactions: 19, Deposits: 49079.58, Withdrawals: 61534.21",1
Cus0009,Loan0004,April,257266.33,10290.65,4.02,23,850,6,60467.16,"Transactions: 5, Deposits: 54213.07, Withdrawals: 61217.12",1
Cus0009,Loan0004,May,257266.33,10290.65,4.02,23,850,6,60467.16,"Transactions: 10, Deposits: 45697.98, Withdrawals: 66453.2",0
Cus0009,Loan0004,June,257266.33,10290.65,4.02,23,850,6,60467.16,"Transactions: 9, Deposits: 83768.45, Withdrawals: 78803.35",1
Cus0009,Loan0004,July,257266.33,10290.65,4.02,23,850,6,60467.16,"Transactions: 15, Deposits: 80723.12, Withdrawals: 25931.61",1
Cus0009,Loan0004,August,257266.33,10290.65,4.02,23,850,6,60467.16,"Transactions: 20, Deposits: 74193.24, Withdrawals: 27996.18",0
Cus0009,Loan0004,September,257266.33,10290.65,4.02,23,850,6,60467.16,"Transactions: 15, Deposits: 67283.61, Withdrawals: 79534.0",1
Cus0009,Loan0004,October,257266.33,10290.65,4.02,23,850,6,60467.16,"Transactions: 8, Deposits: 52509.21, Withdrawals: 78787.1",1
Cus00011,Loan0005,January,459599.35,13927.25,5.67,19,788,3,229722.36,"Transactions: 6, Deposits: 36336.52, Withdrawals: 53560.15",1
Cus00011,Loan0005,February,459599.35,13927.25,5.67,19,788,3,229722.36,"Transactions: 5, Deposits: 76554.8, Withdrawals: 51630.28",0
Cus00011,Loan0005,March,459599.35,13927.25,5.67,19,788,3,229722.36,"Transactions: 14, Deposits: 56189.79, Withdrawals: 42161.44",1
Cus00011,Loan0005,April,459599.35,13927.25,5.67,19,788,3,229722.36,"Transactions: 18, Deposits: 63711.44, Withdrawals: 32727.17",1
Cus00011,Loan0005,May,459599.35,13927.25,5.67,19,788,3,229722.36,"Transactions: 10, Deposits: 66414.83, Withdrawals: 60455.75",1
Cus00011,Loan0005,June,459599.35,13927.25,5.67,19,788,3,229722.36,"Transactions: 11, Deposits: 81299.26, Withdrawals: 38294.22",0
Cus00011,Loan0005,July,459599.35,13927.25,5.67,19,788,3,229722.36,"Transactions: 15, Deposits: 35365.81, Withdrawals: 56300.41",1
Cus00011,Loan0005,August,459599.35,13927.25,5.67,19,788,3,229722.36,"Transactions: 14, Deposits: 42171.89, Withdrawals: 50497.9",1
Cus00011,Loan0005,September,459599.35,13927.25,5.67,19,788,3,229722.36,"Transactions: 20, Deposits: 31631.71, Withdrawals: 75700.66",1
Cus00011,Loan0005,October,459599.35,13927.25,5.67,19,788,3,229722.36,"Transactions: 13, Deposits: 69291.77, Withdrawals: 59248.26",1
Cus0005,Loan0006,January,292627.46,8128.54,3.72,15,639,15,56799.8,"Transactions: 17, Deposits: 63689.45, Withdrawals: 62536.28",0
Cus0005,Loan0006,February,292627.46,8128.54,3.72,15,639,15,56799.8,"Transactions: 15, Deposits: 69592.43, Withdrawals: 35431.68",1
Cus0005,Loan0006,March,292627.46,8128.54,3.72,15,639,15,56799.8,"Transactions: 18, Deposits: 45620.45, Withdrawals: 50878.26",1
Cus0005,Loan0006,April,292627.46,8128.54,3.72,15,639,15,56799.8,"Transactions: 14, Deposits: 75468.1, Withdrawals: 22948.63",1
Cus0005,Loan0006,May,292627.46,8128.54,3.72,15,639,15,56799.8,"Transactions: 11, Deposits: 47121.67, Withdrawals: 45654.04",1
Cus0005,Loan0006,June,292627.46,8128.54,3.72,15,639,15,56799.8,"Transactions: 6, Deposits: 76118.05, Withdrawals: 77240.36",1
Cus0005,Loan0006,July,292627.46,8128.54,3.72,15,639,15,56799.8,"Transactions: 6, Deposits: 58079.59, Withdrawals: 49357.07",0
Cus0005,Loan0006,August,292627.46,8128.54,3.72,15,639,15,56799.8,"Transactions: 14, Deposits: 59014.36, Withdrawals: 76738.12",1
Cus0005,Loan0006,September,292627.46,8128.54,3.72,15,639,15,56799.8,"Transactions: 18, Deposits: 68021.74, Withdrawals: 44635.8",1
Cus0005,Loan0006,October,292627.46,8128.54,3.72,15,639,15,56799.8,"Transactions: 6, Deposits: 78179.69, Withdrawals: 59834.48",1
Cus0003,Loan0007,January,274889.39,6247.49,3.93,27,326,4,142228.27,"Transactions: 13, Deposits: 96133.24, Withdrawals: 68818.78",1
Cus0003,Loan0007,February,274889.39,6247.49,3.93,27,326,4,142228.27,"Transactions: 9, Deposits: 67571.12, Withdrawals: 65529.1",1
Cus0003,Loan0007,March,274889.39,6247.49,3.93,27,326,4,142228.27,"Transactions: 8, Deposits: 81562.01, Withdrawals: 24796.79",0
Cus0003,Loan0007,April,274889.39,6247.49,3.93,27,326,4,142228.27,"Transactions: 20, Deposits: 58465.68, Withdrawals: 22053.11",1
Cus0003,Loan0007,May,274889.39,6247.49,3.93,27,326,4,142228.27,"Transactions: 6, Deposits: 94801.68, Withdrawals: 33932.15",1
Cus0003,Loan0007,June,274889.39,6247.49,3.93,27,326,4,142228.27,"Transactions: 11, Deposits: 49900.91, Withdrawals: 35586.2",1
Cus0003,Loan0007,July,274889.39,6247.49,3.93,27,326,4,142228.27,"Transactions: 18, Deposits: 69142.75, Withdrawals: 52298.2",0
Cus0003,Loan0007,August,274889.39,6247.49,3.93,27,326,4,142228.27,"Transactions: 7, Deposits: 64332.26, Withdrawals: 61064.9",1
Cus0003,Loan0007,September,274889.39,6247.49,3.93,27,326,4,142228.27,"Transactions: 18, Deposits: 35179.23, Withdrawals: 44169.33",1
Cus0003,Loan0007,October,274889.39,6247.49,3.93,27,326,4,142228.27,"Transactions: 8, Deposits: 46187.14, Withdrawals: 66000.46",1
Cus00013,Loan0008,January,270157.29,5002.91,3.46,18,358,15,180055.2,"Transactions: 17, Deposits: 79639.82, Withdrawals: 61479.88",0
Cus00013,Loan0008,February,270157.29,5002.91,3.46,18,358,15,180055.2,"Transactions: 7, Deposits: 48875.73, Withdrawals: 22100.78",1
Cus00013,Loan0008,March,270157.29,5002.91,3.46,18,358,15,180055.2,"Transactions: 7, Deposits: 38073.36, Withdrawals: 54903.54",1
Cus00013,Loan0008,April,270157.29,5002.91,3.46,18,358,15,180055.2,"Transactions: 5, Deposits: 32257.67, Withdrawals: 56955.21",0
Cus00013,Loan0008,May,270157.29,5002.91,3.46,18,358,15,180055.2,"Transactions: 11, Deposits: 86638.95, Withdrawals: 79366.78",1
Cus00013,Loan0008,June,270157.29,5002.91,3.46,18,358,15,180055.2,"Transactions: 16, Deposits: 91347.45, Withdrawals: 64380.51",0
Cus00013,Loan0008,July,270157.29,5002.91,3.46,18,358,15,180055.2,"Transactions: 16, Deposits: 89392.12, Withdrawals: 62136.92",1
Cus00013,Loan0008,August,270157.29,5002.91,3.46,18,358,15,180055.2,"Transactions: 13, Deposits: 47251.29, Withdrawals: 72399.52",1
Cus00013,Loan0008,September,270157.29,5002.91,3.46,18,358,15,180055.2,"Transactions: 19, Deposits: 50121.54, Withdrawals: 39276.26",1
Cus00013,Loan0008,October,270157.29,5002.91,3.46,18,358,15,180055.2,"Transactions: 20, Deposits: 80367.6, Withdrawals: 67744.53",1
Cus00018,Loan0009,January,380323.88,12677.46,3.35,36,826,14,93668.14,"Transactions: 9, Deposits: 78866.36, Withdrawals: 53963.64",1
Cus00018,Loan0009,February,380323.88,12677.46,3.35,36,826,14,93668.14,"Transactions: 11, Deposits: 72032.23, Withdrawals: 44306.99",1
Cus00018,Loan0009,March,380323.88,12677.46,3.35,36,826,14,93668.14,"Transactions: 12, Deposits: 67338.22, Withdrawals: 44988.61",1
Cus00018,Loan0009,April,380323.88,12677.46,3.35,36,826,14,93668.14,"Transactions: 19, Deposits: 66654.0, Withdrawals: 43999.54",1
Cus00018,Loan0009,May,380323.88,12677.46,3.35,36,826,14,93668.14,"Transactions: 7, Deposits: 72525.76, Withdrawals: 59661.34",1
Cus00018,Loan0009,June,380323.88,12677.46,3.35,36,826,14,93668.14,"Transactions: 20, Deposits: 86592.29, Withdrawals: 69031.19",1
Cus00018,Loan0009,July,380323.88,12677.46,3.35,36,826,14,93668.14,"Transactions: 10, Deposits: 93494.88, Withdrawals: 57085.83",1
Cus00018,Loan0009,August,380323.88,12677.46,3.35,36,826,14,93668.14,"Transactions: 9, Deposits: 55598.03, Withdrawals: 70550.96",1
Cus00018,Loan0009,September,380323.88,12677.46,3.35,36,826,14,93668.14,"Transactions: 6, Deposits: 46930.01, Withdrawals: 49212.61",1
Cus00018,Loan0009,October,380323.88,12677.46,3.35,36,826,14,93668.14,"Transactions: 7, Deposits: 58078.46, Withdrawals: 50945.84",1
Cus0006,Loan00010,January,498742.69,20780.95,6.57,58,763,7,338547.79,"Transactions: 16, Deposits: 53580.97, Withdrawals: 50382.46",1
Cus0006,Loan00010,February,498742.69,20780.95,6.57,58,763,7,338547.79,"Transactions: 7, Deposits: 81115.75, Withdrawals: 25697.22",0
Cus0006,Loan00010,March,498742.69,20780.95,6.57,58,763,7,338547.79,"Transactions: 18, Deposits: 92961.5, Withdrawals: 44148.29",1
Cus0006,Loan00010,April,498742.69,20780.95,6.57,58,763,7,338547.79,"Transactions: 11, Deposits: 70040.22, Withdrawals: 35220.34",1
Cus0006,Loan00010,May,498742.69,20780.95,6.57,58,763,7,338547.79,"Transactions: 11, Deposits: 65199.77, Withdrawals: 25866.35",1
Cus0006,Loan00010,June,498742.69,20780.95,6.57,58,763,7,338547.79,"Transactions: 16, Deposits: 35519.73, Withdrawals: 42012.59",1
